sku,our_title,search_term,weight,weight_g,notes
CH98776annam,Annam Sona Masoori Rice 10kg,sona masoori rice,10kg,10000,
ANJSONM10,Anjappar Sona Masoori Rice 10kg,sona masoori rice,10kg,10000,
AM1015,Annam Sona Masoori Rice 5kg,sona masoori rice,5kg,5000,
AA00056,Aashirvaad Atta 10kg,atta,10kg,10000,
PIL10GFT,Pillsbury Atta 10kg,atta,10kg,10000,
AA0004,Aashirvaad Atta 5kg,atta,5kg,5000,
10001,Pillsbury Atta 5kg,atta,5kg,5000,
SME23011017,Adisha Chakki Fresh Atta 5kg,chakki atta,5kg,5000,
DWTEXLOBM5,Daawat Extra Long Basmati Rice 5kg,basmati rice,5kg,5000,
6008INDGA5,India Gate Premium Basmati Rice 5kg,basmati rice,5kg,5000,
DAWBASRIC5KG,Daawat Basmati Rice 5kg,basmati rice,5kg,5000,
INDGTEXL5KG,India Gate Excel Basmati Rice 5kg,basmati rice,5kg,5000,
DAAWATXL10,Daawat Extra Long Basmati Rice 10kg,basmati rice,10kg,10000,
25072021,Annam Idly Rice 5kg,idli rice,5kg,5000,
ANAM1311001,Annam Idly Rice 10kg,idli rice,10kg,10000,
CH98776annamsw,Annam Ponni Boiled Rice 10kg,ponni boiled rice,10kg,10000,
AM1007,Annam Ponni Boiled Rice 5kg,ponni boiled rice,5kg,5000,
10347,TRS Toor Dal 2kg,toor dal,2kg,2000,
10348,TRS Toor Dal 500gm,toor dal,500gm,500,
10278,TRS Moong Dal 2kg,moong dal,2kg,2000,
TRSMGD500,TRS Moong Dal Yellow 500gm,moong dal,500gm,500,
10238,TRS Gram Flour Besan 1kg,besan gram flour,1kg,1000,
SV8023,Ayurveda Indian Paneer 250gm,paneer,250gm,250,
MRSSV0705003,Dairy Valley Paneer 250gm,paneer,250gm,250,
DVFP1KG,Dairy Valley Paneer 1kg,paneer,1kg,1000,
SV8023BIG,Ayurveda Indian Paneer 1kg,paneer,1kg,1000,
AMPDG1L,Amul Pure Desi Ghee 1L,ghee,1kg,1000,treat 1L=1kg
10067,Khanum Butter Ghee 1kg,ghee,1kg,1000,
SVIDUB001,SV Fresh Idli Dosa Batter 750gm,idli dosa batter,750gm,750,
10025874P8,Maggi Noodles Masala 8 Pack,maggi noodles,8pack,560,560gm total
4072021,Fresh Okra Bhindi 250gm,okra bhindi,250gm,250,try - skip if not found
6072021,Fresh Chilli 250gm,green chilli,250gm,250,try - skip if not found
FCL50,Fresh Curry Leaves 50gm,curry leaves,50gm,50,try - skip if not found
12072021,Fresh Drumstick 200gm,drumstick moringa,200gm,200,try - skip if not found
FRESHCORIANDER100,Fresh Coriander Leaves 100gm,coriander leaves,100gm,100,try - skip if not found
FRVSV00250,Fresh Loki Dudhi 1kg,loki dudhi,1kg,1000,try - skip if not found
72072021,Fresh Tindi 250gm,tindora tindli,250gm,250,try - skip if not found
8072021,Fresh Methi Leaves 250gm,methi fenugreek,250gm,250,try - skip if not found
5072021,Fresh Karela 250gm,karela bitter gourd,250gm,250,try - skip if not found
TPSIN02,Trident Pure Saffron 2gm,saffron,2gm,2,
